movieid;peopleid;credited_as
3223;6665;D
3223;11099;A
3223;12816;A
6767;10807;A
6767;4497;A
1694;6119;A
1694;6119;D
1694;13105;A
1694;7744;A
1694;7375;A
1694;14707;A
1694;16415;A
6758;13625;A
6758;4834;D
6758;4706;A
6758;6683;A
6758;8506;A
6401;5285;A
6401;15739;A
6401;14698;D
6401;4902;A
6570;8373;A
6570;14011;A
6570;5314;A
6570;11765;A
6570;7173;D
6570;10995;A
6570;7943;A
1818;1101;A
1818;3190;A
1818;4193;D
1818;14063;A
1818;888;A
1818;716;A
6708;2785;A
6708;11633;A
6708;12345;A
6708;3294;A
6708;6121;D
3479;2785;A
3479;5526;A
3479;9184;A
3479;3567;A
3479;8659;D
1695;1632;D
1695;5121;A
1695;8183;A
1819;9923;A
1819;9923;D
1819;9373;A
1819;4982;A
1819;4884;A
1819;11482;A
516;4611;A
516;8953;D
516;15355;A
516;2798;A
516;9559;A
516;1071;A
3851;11637;A
3851;15683;A
3851;11606;A
3851;14057;A
3851;5158;D
3851;10287;A
1696;2830;A
1696;13127;A
1696;15581;A
1696;5835;D
1696;5155;A
1696;2307;A
1696;13669;A
263;11606;A
263;11348;A
263;15832;A
263;3163;A
263;4117;A
263;9248;D
263;4386;A
263;3300;A
263;5112;A
263;10843;A
1;4520;A
1;4886;D
1;11841;A
1;5265;A
1;7899;A
5233;9484;A
5233;14337;A
5233;1665;D
5233;4720;A
1820;13933;A
1820;15741;A
1820;12637;A
1820;12389;A
1820;3;A
1820;680;D
1698;12824;D
3367;2273;D
3367;6116;A
3367;15839;A
3367;3453;A
3367;9983;A
1697;4984;A
1697;5458;A
1697;13228;A
1697;12684;A
1697;15724;D
7506;1013;D
7506;3247;A
7506;7907;A
7506;9604;A
7506;13079;A
7506;13968;A
7090;392;A
7090;2726;D
7090;2979;A
7090;12378;A
1699;6793;A
1699;9090;A
1699;3202;A
1699;13295;A
1699;6617;D
1700;15683;A
1700;3778;D
1700;10295;A
4495;12003;A
4495;5639;A
4495;13872;A
4495;1301;D
1821;4083;A
1821;9457;A
1821;14699;A
1821;11458;A
1821;13948;D
1821;7766;A
7507;3297;A
7507;3227;A
7507;3160;A
7507;6422;A
7507;9295;A
5705;13850;D
5705;1120;A
5705;8390;A
5705;10920;A
5705;650;A
5705;1034;A
5705;15677;A
5705;13890;A
5705;9670;A
5705;5000;A
5705;5729;A
4859;7711;A
4859;10029;A
4859;749;A
4859;7369;A
2439;1965;A
2439;6572;A
2439;3200;A
2439;11946;D
2439;2328;A
2439;5732;A
8210;5630;A
8210;6657;A
8210;16113;D
1702;2718;A
1702;10596;A
1702;11743;D
1703;1894;A
1703;3522;A
1703;3522;D
1703;5245;A
1706;2409;A
1706;2409;D
1706;8744;A
1706;8379;A
3852;7176;D
3852;6363;A
3852;14410;A
3852;11840;A
5565;8864;A
5565;9638;A
5565;3821;A
5565;4576;D
5565;8945;A
3856;7388;A
3856;13928;A
3856;1350;A
3856;11157;D
3856;16227;D
233;7958;D
233;3937;A
233;8799;A
233;14249;A
1042;11388;A
1042;4117;A
1042;10656;A
1042;3202;A
1042;4193;D
1042;5847;A
1042;5219;A
1042;11620;A
1707;5268;A
1707;16283;A
1707;15802;D
1707;2567;A
1707;8540;A
1707;2401;A
1707;3769;A
1707;8262;A
1707;15797;A
1707;9188;A
1707;15803;D
1707;10663;A
1707;2379;A
1708;10;A
1708;14990;D
5731;1140;A
5731;4346;A
5731;5093;A
5731;3128;A
5731;9979;D
5731;16348;A
1823;1607;A
1823;14103;A
1823;13825;A
1823;4543;A
1823;8948;D
1823;16102;A
1823;8236;A
1823;11609;A
6819;838;A
6819;11004;A
6819;8473;A
6819;3473;D
1709;8249;A
1709;4719;A
1709;6196;A
1709;3147;A
1709;14392;A
1709;12382;A
6626;14053;A
6626;6196;A
6626;3147;A
6626;14392;A
1710;8422;A
3853;2908;A
3853;6069;A
3853;13228;A
3853;13579;A
3853;2924;A
3853;15745;D
3853;11694;A
3853;6834;A
3853;5870;A
3853;7382;A
3854;6071;A
3854;14029;D
3854;12152;D
7510;6987;A
7510;5746;A
7510;719;A
7510;13251;A
1711;5458;A
1711;6035;A
1711;1943;A
1711;9551;A
1711;4588;D
1711;11171;A
1711;16465;A
3855;4047;A
3855;5863;A
3855;1665;D
3855;5208;A
3855;10395;A
3855;1951;A
1712;2165;A
1712;9087;A
1712;11688;A
1712;12262;A
1712;4776;D
1712;11450;A
1712;4131;A
1712;2006;A
7674;11156;A
7674;6523;A
7674;3184;D
1701;3903;A
1701;15199;A
1701;6616;A
1701;14863;A
992;7529;A
992;6701;A
992;14936;A
992;7127;A
992;7281;A
992;9302;A
992;6224;D
7511;14834;D
7511;14725;A
2811;336;A
2811;15812;A
2811;15006;A
2811;9235;D
2811;6271;A
3753;15385;A
3753;8304;A
3753;8143;A
4582;15598;A
4582;6623;A
4582;9901;A
4582;4692;A
4582;10807;A
4582;10101;A
4582;4154;A
4582;10927;A
4582;11476;D
1713;4668;A
1713;13662;D
1713;5902;A
1713;6586;A
1713;1562;A
1713;5062;A
4793;12909;A
4793;1986;A
4793;6004;A
4793;15542;A
4793;13739;D
4793;15529;A
4793;3170;A
4096;12909;A
4096;6004;A
4096;9669;A
4096;5431;A
4096;13923;A
4096;10414;D
4096;15529;A
1714;6371;D
1714;8691;A
1714;2080;A
1715;11392;A
1715;11392;D
3315;3548;D
3315;4045;A
6458;13202;D
6458;2462;A
6458;7470;A
6458;12653;A
6458;7471;A
7512;12799;A
7512;4983;A
7512;13157;D
7512;14419;A
4350;4631;A
4350;4371;A
4350;6033;A
4350;3357;D
1717;795;A
1717;4613;A
1717;10126;A
1717;3122;A
1717;4668;A
1717;9443;D
1717;12444;A
1717;14811;A
1717;13353;A
1717;8514;A
1718;15995;A
1718;9127;A
1718;12820;A
2975;7162;A
2975;11233;A
902;10371;D
902;9516;A
902;5101;A
902;6751;A
902;11712;A
902;3216;A
902;15014;A
5153;2310;A
5153;1441;D
5153;1135;A
7513;4632;A
7513;1075;A
7513;6046;D
7513;9814;A
7513;14811;A
7513;1599;A
7513;8705;A
7513;1403;A
7513;9867;A
1680;12526;A
1680;7416;A
1680;11728;A
1680;703;D
1680;1217;D
1680;1012;A
5682;3032;A
5682;12048;A
5682;5672;D
6193;12207;A
6193;12867;A
6193;7591;A
5155;14679;A
5155;11162;A
5155;1689;D
7251;9448;D
7251;9638;A
7251;12264;A
7251;3328;A
1720;4762;A
1720;7404;A
1720;8826;D
8558;934;A
8558;574;A
8558;650;A
8558;13171;D
8558;12888;A
8558;13064;A
1825;6585;A
1825;7477;A
1825;12523;A
1825;5314;A
1825;6412;A
7503;3586;A
7503;15447;D
7503;5314;A
7515;4116;A
7515;10555;A
7515;10470;A
7515;10504;A
7515;16252;D
7515;10983;A
7515;16129;A
7515;10070;A
7515;4103;A
7515;13452;A
7515;646;A
7515;10945;A
7515;12968;A
7515;7957;A
7515;12805;A
7515;14313;A
3850;12057;A
3850;11138;D
3850;4059;A
3850;11321;A
1723;1758;D
6367;15211;A
6367;6259;A
1724;15211;A
1725;1539;A
1725;15093;A
1725;13056;A
1725;16484;A
5656;3883;A
5656;10855;A
5656;7942;A
5656;10648;D
7517;5640;A
7517;14198;A
7517;10678;A
8209;11232;A
8209;12765;A
8209;8401;D
8209;7210;A
8252;7607;A
8252;7252;A
1446;5033;A
1446;1591;D
1446;863;A
1446;4373;A
7518;964;A
7518;10394;A
7518;5783;D
7518;11511;A
7518;4188;A
1726;8872;D
1726;128;A
1726;5360;A
1726;11468;A
1726;8513;A
1727;11107;A
1727;1743;A
1727;13742;A
1727;15769;A
1727;640;D
1727;9130;A
1727;9204;A
1727;14902;A
1728;3970;A
1728;3970;D
1728;7579;A
7519;4612;A
7519;14641;A
7519;2835;A
7519;6180;D
7519;11282;A
5212;460;A
5212;8234;A
